Movement1,Movement2,SameClass,Subject1,Subject2,Distance
BothReleased,BothStartLoadPhase,False,7,2,23.989000762087752
BothReleased,BothStartLoadPhase,False,7,3,26.65643718956594
BothReleased,BothStartLoadPhase,False,7,4,22.937693647665263
BothReleased,BothStartLoadPhase,False,7,5,32.79625083263569
BothReleased,BothStartLoadPhase,False,7,6,27.177601461027
BothReleased,BothStartLoadPhase,False,7,8,28.2269904931512
BothReleased,BothStartLoadPhase,False,7,9,31.077157706069894
BothReleased,BothStartLoadPhase,False,7,10,29.177733657348416
BothReleased,BothStartLoadPhase,False,7,11,23.987157161518095
BothReleased,BothStartLoadPhase,False,7,12,23.161052095688415
BothReleased,BothStartLoadPhase,False,12,1,25.325142363119618
BothReleased,BothStartLoadPhase,False,12,2,21.204120573176233
BothReleased,BothStartLoadPhase,False,12,3,25.142234094152936
BothReleased,BothStartLoadPhase,False,12,4,25.78987577133925
BothReleased,BothStartLoadPhase,False,12,5,29.331735791524274
BothReleased,BothStartLoadPhase,False,12,6,27.526195545856368
BothReleased,BothStartLoadPhase,False,12,7,26.23876593190038
BothReleased,BothStartLoadPhase,False,12,8,27.746412401034043
BothReleased,BothStartLoadPhase,False,12,9,27.37838537314549
BothReleased,BothStartLoadPhase,False,12,10,22.448547126491757
BothReleased,BothStartLoadPhase,False,12,11,25.630418701866837
BothReleased,BothStartLoadPhase,False,4,1,25.999530508504073
BothReleased,BothStartLoadPhase,False,4,2,26.61739848570513
BothReleased,BothStartLoadPhase,False,4,3,26.151646451808293
BothReleased,BothStartLoadPhase,False,4,5,31.15339068056565
BothReleased,BothStartLoadPhase,False,4,6,25.67951568970519
BothReleased,BothStartLoadPhase,False,4,7,26.328905853056416
BothReleased,BothStartLoadPhase,False,4,8,29.924389912483772
BothReleased,BothStartLoadPhase,False,4,9,29.880235668722104
BothReleased,BothStartLoadPhase,False,4,10,26.352023376538973
BothReleased,BothStartLoadPhase,False,4,11,24.90783056186061
BothReleased,BothStartLoadPhase,False,4,12,26.765413452972275
